init_time,track_id,model,valid_time,lead_time_hours,lat,lon,maximum_sustained_wind_speed_knots
2025-06-24 12:00:00,AL012025,FNV3,2025-06-24 12:00:00,0,36.2,-49.7,35
2025-06-24 12:00:00,AL012025,FNV3,2025-06-24 18:00:00,6,37.4,-48.0,29
2025-06-24 12:00:00,AL012025,FNV3,2025-06-25 00:00:00,12,38.3,-46.3,27
2025-06-24 12:00:00,AL012025,FNV3,2025-06-25 06:00:00,18,39.1,-44.6,26
2025-06-24 12:00:00,AL012025,HFSA,2025-06-24 12:00:00,0,36.3,-49.7,35
2025-06-24 12:00:00,AL012025,HFSA,2025-06-24 18:00:00,6,37.4,-48.2,35
2025-06-24 12:00:00,AL012025,HFSA,2025-06-25 00:00:00,12,38.1,-46.8,28
2025-06-24 12:00:00,AL012025,HFSA,2025-06-25 06:00:00,18,38.7,-44.9,27
2025-06-24 12:00:00,AL012025,HFSA,2025-06-25 12:00:00,24,39.6,-42.4,31
2025-06-24 12:00:00,AL012025,HFSA,2025-06-25 18:00:00,30,40.4,-39.1,30
2025-06-24 12:00:00,AL012025,HFSA,2025-06-26 00:00:00,36,41.3,-35.4,31
2025-06-24 12:00:00,AL012025,HFSA,2025-06-26 06:00:00,42,42.3,-31.4,28
2025-06-24 12:00:00,AL012025,HFSA,2025-06-26 12:00:00,48,43.5,-27.3,26
2025-06-24 12:00:00,AL012025,OFCL,2025-06-24 12:00:00,0,36.2,-49.7,35
2025-06-24 12:00:00,AL012025,OFCL,2025-06-24 15:00:00,3,36.6,-48.9,35
2025-06-24 12:00:00,AL012025,OFCL,2025-06-25 00:00:00,12,37.9,-46.3,35
2025-06-24 12:00:00,AL012025,OFCL,2025-06-25 12:00:00,24,39.6,-41.5,30
2025-06-24 18:00:00,AL012025,FNV3,2025-06-24 18:00:00,0,37.3,-48.1,35
2025-06-24 18:00:00,AL012025,FNV3,2025-06-25 00:00:00,6,38.1,-46.5,28
2025-06-24 18:00:00,AL012025,FNV3,2025-06-25 06:00:00,12,38.9,-44.9,26
2025-06-24 18:00:00,AL012025,HFSA,2025-06-24 18:00:00,0,37.4,-48.1,35
2025-06-24 18:00:00,AL012025,HFSA,2025-06-25 00:00:00,6,38.2,-46.5,29
2025-06-24 18:00:00,AL012025,HFSA,2025-06-25 06:00:00,12,39.1,-44.8,27
2025-06-24 18:00:00,AL012025,HFSA,2025-06-25 12:00:00,18,40.0,-42.4,28
2025-06-24 18:00:00,AL012025,HFSA,2025-06-25 18:00:00,24,40.8,-39.2,30
2025-06-24 18:00:00,AL012025,HFSA,2025-06-26 00:00:00,30,41.7,-35.6,30
2025-06-24 18:00:00,AL012025,HFSA,2025-06-26 06:00:00,36,42.7,-31.5,28
2025-06-24 18:00:00,AL012025,HFSA,2025-06-26 12:00:00,42,43.6,-27.3,26
2025-06-24 18:00:00,AL012025,OFCL,2025-06-24 18:00:00,0,37.3,-48.1,35
2025-06-24 18:00:00,AL012025,OFCL,2025-06-24 21:00:00,3,37.9,-47.4,35
2025-06-24 18:00:00,AL012025,OFCL,2025-06-25 06:00:00,12,39.0,-44.5,30
2025-06-28 18:00:00,AL022025,FNV3,2025-06-28 18:00:00,0,19.2,-93.9,25
2025-06-28 18:00:00,AL022025,HFSA,2025-06-28 18:00:00,0,19.0,-94.1,26
2025-06-28 18:00:00,AL022025,HFSA,2025-06-29 00:00:00,6,19.3,-94.8,28
2025-06-28 18:00:00,AL022025,HFSA,2025-06-29 06:00:00,12,19.8,-96.0,25
2025-06-28 18:00:00,AL022025,HFSA,2025-06-29 12:00:00,18,20.6,-97.0,38
2025-06-28 18:00:00,AL022025,OFCL,2025-06-28 18:00:00,0,19.2,-93.9,25
